career,profile
Video Editor,"Video Editor
Persyaratan Umur 25-34 tahun Berpengalaman min. 2 tahun di bidangnya Pendidikan min D3/S1 Menguasai software video editing Menguasai color grading...
nan"
Video Editor,"Video Editor
Perusahaan Media Nasional sedang mencari kandidat untuk posisi :  VIDEO EDITOR dengan kualifikasi sebagai berikut : Minimal 33 tahun Minimal D3 Semua...
nan"
Video Editor,"Video Editor
DeskripsiKAMI DARI POTONG GAMBAR SEDANG MENCARI TEAM BARU DI POSISI VIDEO EDITORKUALIFIKASIUSAI MINIMAL 27 TAHUNMENGERTI MENGOPRASIKAN KAMERA...
nan"
Video Editor,"Video Editor
detiknetwork is looking for Video Editor who will responsible for making and editing video footage to tell stories that relate to news content. We...
nan"
Video Editor,"Video Editor
Usia maksimal 28 tahun, Terbiasa dengan Aplikasi Graphic Design dan Video Editor, Kreatif dan Inovatif, Passionate in art, Mampu bekerja Tim maupun...
nan"
Video Editor,"Video Editor
Tugas dan Tanggung jawab : Melakukan editing video wedding / prewedding Menguasai Software video editing Adobe Premiere Nilai lebih jika menguasai...
nan"
Video Editor,"Video Editor
Kualifikasi: Usia Maksimal 30 tahun. Minimal pengalaman 1 tahun di Video Editing dan Motiongraphic. Memiliki background pekerjaan / pengalaman yang...
BPJS Kesehatan,BPJS Ketenagakerjaan,Uang Makan dan Transport"
Video Editor,"Video Editor
Deskripsi Pekerjaan:Kualifikasi: erpengalaman dibidangnya Mampu berkomunikasi dengan baik Mampu bekerja secara mandiri maupun kelompok (Team) Jujur,...
nan"
Video Editor,"Video Editor
Job Requirements: Ready to work full time and join the team this year Able to operate video editing software Love to watch training/sharing videos...
nan"
Video Editor,"Video Editor
Kualifikasi : Usia maksimal 30 tahun Domisili Malang Raya Menguasai Software Editing (Adobe Premiere/Davinci Resolve) Memiliki skill di After Effect...
nan"
Video Editor,"Video Editor
Kualifikasi: Usia 25-35 tahun; Pendidikan minimal D3/S1 Desain Visual / Desain Grafis / Multimedia; Pengalaman minimal 1 tahun sebagai Video Editor...
nan"
Video Editor,"Video Editor
Usia Minimal 20 tahun Dan Maksimal 30 tahun Memiliki Pengalaman Kerja Minimal 1 Tahun Di Bidang Yang Sama Dapat Berkomunikasi Dengan Baik Bersedia...
nan"
Video Editor,"Video Editor
Kualifikasi:- Pendidikan min. D3/S1 Jurusan Broadcaster, DKV atau Multimedia.- Usia Maksimal 28 Tahun.- Kemampuan yang harus dimiliki: Adobe Premiere,...
Bonus,Budaya Kerja"
Purchasing Supervisor,"Purchasing Supervisor
Job Description: Menjalin komunikasi dengan supplier &amp; mengatur dokumentasi pembelian barang dagangan. Mencari supplier alternatif dan memulai...
nan"
Purchasing Supervisor,"Purchasing Supervisor
KUALIFIKASI:  Usia maksimal 35 tahun. Pendidikan terakhir minimal Diploma / S1 Teknik Mesin / Teknik Industri. Pengalaman sebagai Purchasing Import....
nan"
Purchasing Supervisor,"Purchasing Supervisor
Job Description :Checking delivery process on daily basisCommunicative and Persuasive in relations with work teams and vendorsRunning day-to-day...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Tugas Utama : Mengatur dokumentasi dan filing data barang order sampai dengan penerimaan Mencari vendor/ supplier atas barang barang yang dipakai...
nan"
Purchasing Supervisor,"Purchasing Supervisor
PURCHASING SUPERVISOR REQUIREMENT : Min S1 from any discipline but preferable from Industrial Engineering Min 3 years experience in the same position...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Requirements: Minimum required age are 18 years old Bachelor degree (S1) from industrial technology or management Good with microsoft office...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Responsibilities : Design, plan and implement sourcing and purchasing strategies Work with suppliers, manufacturers and internal departments Maintain...
nan"
Purchasing Supervisor,"Purchasing Supervisor
PT Nipsea Paint and Chemicals currently looking for Purchasing Supervisor placement at Head Office (PT Nipsea Paint and Chemicals - Ancol Jakarta...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Researching potential vendors Comparing and evaluating offer from suppliers Negotiating contract terms of agreement and pricing Prepares purchase...
Career advancement,Attractive package,Energetic working environmet"
Purchasing Supervisor,"Purchasing Supervisor
Looking for quotation of goods and services Selecting and evaluating vendors Negotiating and following up vendor regarding with delivery of goods and...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Job Description:•     Implement the achievement of departmental targets in accordance with the elaboration of policy management (Safety, Quality,...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Tanggung Jawab : Bertanggung jawab seluruh aktivitas pembelian material, consumable dan barang umum Mereview dan memverifikasi form permintaan...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Tugas dan Tanggung Jawab: Melakukan seleksi dan evaluasi Supplier baik lokal maupun import dari aspek kualitas produk, harga dan ketepatan pengiriman...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Deskripsi Pekerjaan :  Menerima dan mereview purchase request barang dari seluruh departemen. Melakukan perbandingan harga dan kualitas minimal 3...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Deskripsi Pekerjaan Mengatur dokumentasi dan filing data barang order sampai dengan penerimaan Mencari vendor/ supplier atas barang barang yang...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Tanggung Jawab : Melakukan seleksi dan evaluasi Supplier dari aspek kualitas produk, harga dan ketepatan pengiriman. Melakukan proses pembelian yang...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Job Description: Review and evaluate the specification and pricing for material Review all suppliers in term of best value, delivery schedule and...
nan"
Purchasing Supervisor,"Purchasing Supervisor
Deskripsi Pekerjaan: Melakukan perencanaan dan proses pengadaan barang dan jasa serta perlengkapan lainnya yang dibutuhkan perusahaan berdasarkan...
nan"
Purchasing Supervisor,"Purchasing Supervisor
PURCHASING SUPERVISORREQUIREMENT Usia 25-35 Tahun S1 Manajemen/Ekonomi/Farmasi /Kimia Pengalamanan Min. 2 Tahun di posisi dan bidang yang sama...
BPJS TK & Kesehatan,Tunjangan Hari Raya,Biaya Transportasi"
Purchasing Supervisor,"Purchasing Supervisor
Responsibilities: Process request for procurements of materials and services Directing &amp; monitoring the buyer for procurement of materials and...
nan"
Accounting Officer,"Accounting Officer
Job Description  Consolidating Financial statement of Group companies Ensuring accuracy of data. To work closely with all departments and group...
nan"
Accounting Officer,"Accounting Officer
Job Responsibilities: Maintaining daily financial reports, records, and general ledger accounts Preparing journal entries, analyses, and account...
nan"
Accounting Officer,"Accounting Officer
Kualifikasi: Pendidikan minimal S-1 Ekonomi/Akuntansi Memiliki pengalaman di posisi yang sama minimal 2 tahun Memahami administrasi dan akuntansi...
nan"
Accounting Officer,"Accounting Officer
Tanggung Jawab : Membuat laporan keuangan 3,6,dan 12 bulanan Melakukan tutup buku tiap bulan Membuat dan melakukan review terhadap proses-proses...
nan"
Accounting Officer,"Accounting Officer
Maximum age is 35 years Old Education minimal Bachelor, majoring in Economics and Accounting Experience as Accounting Staff, at least 2 years Able to...
nan"
Accounting Officer,"Accounting Officer
Job Description: Compiling and monitoring company’s financial data Create financial projections and analyses on demand Create company’s statement of...
Medical Insurance,Transport & meal allowance"
Accounting Officer,"Accounting Officer
Kualifikasi: Pengalaman minimal 2 tahun di bidang Finance, Accouting Menguasai MS. Office dengan baik, MS. Word Pendidikan Minimal SMEA/D3/S1...
nan"
Accounting Officer,"Accounting Officer
Candidate must possess at least Diploma, Bachelor's Degree in Finance/Accountancy/Banking or equivalent. At least 1 Year(s) of working experience in...
nan"
Accounting Officer,"Accounting Officer
Qualification: Diploma/Bachelor degree in Accounting from reputable University Minimum 1 year experience in the same field / Fresh Graduated are...
nan"
Accounting Officer,"Accounting Officer
Deskripsi Pekerjaan : Membuat Jurnal diantaranya payment voucher, official received, jurnal voucher dan debit note Rekonsiliasi bank, membuat DN atas...
nan"
Accounting Officer,"Accounting Officer
Job Descriptions:         Update, post and process journal entries to ensure all business transactions are recorded. Assist in the processing of...
nan"
Accounting Officer,"Accounting Officer
Tanggung Jawab: Bertanggung jawab terhadap operasional kerja dalam Departemen Accounting (cost accounting, investment,reporting, dan sebagainya)...
nan"
Accounting Officer,"Accounting Officer
Ringkasan Pekerjaan : Membuat &amp; menyusun laporan keuangan; Melakukan pencatatan dan kroscek pada setiap transaksi yang dikirim dari unit Kebun;...
nan"
Accounting Officer,"Accounting Officer
We're looking for great people to join our FUSE Family as Accounting Officer.Job Description Doing day-to-day accounting activities. Update and...
nan"
Accounting Officer,"Accounting Officer
Responsibilities: Review and verify invoices for the completeness and correctness (three way matching) with appropriate authorization according to...
nan"
Accounting Officer,"Accounting Officer
Kualifikasi: Minimal Lulusan SMK Akuntansi Mengerti Dasar Akuntansi Multitasking Berkarakter Baik Dapat Bekerja Dalam Tim Penempatan Kebon Jeruk,...
nan"
Accounting Officer,"Accounting Officer
Requirements : Minimum bachelor’s degree in Accountancy / Tax / Banking; At least 3 years experiences as Accounting &amp; Finance from various...
nan"
Accounting Officer,"Accounting Officer
Deskripsi Pekerjaan: Melakukan closing financial report setiap bulan Melakukan closing inventory, aset, AR (Account Receviable), AP (Account Payable)...
nan"
Accounting Officer,"Accounting Officer
You will be responsible to assist in the development of the system and preparation of the report, and also will assist in the preparation of other...
nan"
Accounting Officer,"Accounting Officer
JOB DESCRIPTION: Daily journal activities by Accurate Accounting Software Review monthly bank cash statement Prepare monthly sales report of all...
BPJS Kesehatan,BPJS Ketenagakerjaan,Private Insurance"
Production Supervisor,"Production Supervisor
At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 260,000 diverse, talented and dedicated employees across 100 locations...
nan"
Production Supervisor,"Production Supervisor
Bachelor degree from Industrial Engineering or other study with experience as Production Supervisor at electronic manufacturing Good understanding of...
nan"
Production Supervisor,"Production Supervisor
Job Purpose :To supervise and train assigned staff in the production and manufacturing process so that pipes and fittings are produced in a safe,...
nan"
Production Supervisor,"Production Supervisor
PT, SERASA SELERA NUSANTARA (SERASA FOOD)Saat ini PT Serasa Food kembali membuka lowongan kerja terbaru, Adapun dibawah ini adalah posisi jabatan yang...
nan"
Production Supervisor,"Production Supervisor
Requirements: At least 3 years of working experience as PRODUCTION SUPERVISOR. Excellent communication skill. Education background minimal D3 /...
BPJS Kesehatan & BPJS Ketenagakerjaan.,Very casual working environment.,Career development opportunity."
Production Supervisor,"Production Supervisor
Duties: Planning and organizing production schedules Assess project and resource requirements Estimating, negotiating and agreeing on budgets and time...
Pengembangan keahlian,Tantangan,Kesejanteraan"
Production Supervisor,"Production Supervisor
Memastikan kesesuaian antara proses produksi dengan prosedur yang berlaku agar memenuhi persyaratan mutu yang ditentukan. Memastikan proses produksi...
nan"
Production Supervisor,"Production Supervisor
Responsibilities: Supervising operations within a facility to achieve higher output Organize workflow by assigning responsibilities and preparing...
nan"
Production Supervisor,"Production Supervisor
Requirement: Posses diploma or bachelor degree with 5 years working experiences in production manufacturing. Being self-motivate, ability to work...
nan"
Production Supervisor,"Production Supervisor
Do you dream of working in a company that is driven by a meaningful purpose? An inclusive company that empowers you to do your best and be...
nan"
Production Supervisor,"Production Supervisor
Job description: Manage work place (man, machine, material, method) Create human resources (lead 1 shift) Create Work Standard Activity Kaizen Follow...
nan"
Production Supervisor,"Production Supervisor
Melakukan inspeksi secara terkoordinir untuk memastikan proses produksi berjalan sesuai prosedur Memeriksa kebenaran setiap produk baik dari label...
nan"
Production Supervisor,"Production Supervisor
Kualifikasi Minimal S1 Teknik (Teknik Pertambangan) Pengalaman minimal 3 tahun sebagai Production Supervisor di TAMBANG BATU BARA Pengalaman memimpin...
nan"
Production Supervisor,"Production Supervisor
Deskripsi pekerjaan: Memahami alur kerja dan mampu mengawasi proses produksi mulai dari bahan baku awal sampai dengan finishing dan packaging...
nan"
Production Supervisor,"Production Supervisor
Mengendalikan dan mengontrol produksi di industri Kosmetik Bertanggungjawab pada pencapaian target produksi dan kualitas standar hasil produksi...
nan"
Production Supervisor,"Production Supervisor
Requirement: Candidate must possess at least Bachelor's Degree in Pharmacy/Pharmacology Required language(s): English At least 3 Year(s) of working...
nan"
Production Supervisor,"Production Supervisor
Kandidat memiliki gelar Apoteker, Lebih disukai jika memiliki pengalaman minimal 1 Tahun sebagai Production Supervisor di Perusahaan Industri Farmasi....
nan"
Production Supervisor,"Production Supervisor
The Production Supervisor will be responsible for production activities including sample production (when needed), main line production and quality...
nan"
Production Supervisor,"Production Supervisor
Tugas dan Tanggung Jawab : Merencanakan jadwal produksi Pengawasan dan Pengendalian kulaitas produk Mengawasi aktivitas tim produksi Membuat laporan...
nan"
Production Supervisor,"Production Supervisor
Gambaran Umum =Melakukan pengawasan, pengendalian, dan pengaturan tugas di unit kerja maupun proses produksiKualifikasi = D3/ S1 Farmasi, Teknik...
Benefit yang sesuai,Tempat belajar mengembangkan potensi diri,Lingkungan kerja yang mendukung"
Account Officer,"Account Officer
JV2110008 - Account Officer - Sales - SoloJob Specification :Memiliki gelar sarjana dengan minimal IPK 3,00Memiliki pengalaman minimal 1 tahun sebagai...
nan"
Account Officer,"Account Officer
JV2110009 - Account Officer - Sales - MedanMemiliki gelar sarjana dengan minimal IPK 3,00Memiliki pengalaman minimal 1 tahun sebagai sales dan 1 tahun...
nan"
Account Officer,"Account Officer
PT Otto Menara Globalindo (Mceasy) adalah perusahaan penyedia solusi digital untuk manajemen dan pelacakan kendaraan logistik. Beberapa client kami...
Attractive Bonus and Incentives,Good Company Culture,Full Working Equipment (Laptop, etc)"
Account Officer,"Account Officer
Deskripsi Pekerjaan: Mencari database nasabah yang akan mengajukan pinjaman dengan jaminan SHM/SHGB (Sertifikat Hak Guna Bangunan) / sertifikat rumah...
Insentif,BPJS Kesehatan dan Ketenagakerjaan,THR"
Account Officer,"Account Officer
Qualifications:  Gratuated from any discipline  Experience in sales is preferred  Great communication and interpersonal skills  Must be attentive to...
nan"
Account Officer,"Account Officer
We are looking for a self-driven Account Officer for our fintech aggregator with the main products of insurance and employee/company loans. As an...
Positive Working Environment,Employee Development Opportunities,Employee Benefits"
Account Officer,"Account Officer
Deskripsi Pekerjaan : Menjalin hubungan baik dengan customer, monitoring produk customer dari mulai PO sampai pengiriman barang. Membuat laporan...
nan"
Account Officer,"Account Officer
Requirements : Minimum 1 year experience in credit marketing. Maximum age 35 years old. send application before 15 december 2021...
nan"
Account Officer,"Account Officer
Perusahaan kami PT. Asia Outsourcing Services saat ini sedang membutuhkan karyawan untuk internal staff posisi:ACCOUNT OFFICERDeskripsi Pekerjaan:...
nan"
Account Officer,"Account Officer
Kualifikasi : Pendidikan minimal SMA / SMK Mampu berkomunikasi dengan baik Mempunyai kendaraan bermotor + SIM Siap bekerja dengan target Berdomisili...
nan"
Account Officer,"Account Officer
- Minimal lulusan D3, Usia Maksimal 26 tahun- Diutamakan yang berpengalaman KTA, Berorientasi pada target, dan menyukai tantangan- Ramah, Supel dan...
nan"
Account Officer,"Account Officer
Anda bertugas untuk mengelola kredit nasabah, mencapai target marketing bulanan, menilai, analisa, dan melakukan monitoring maupun...
nan"
Account Officer,"Account Officer
FASILITAS Insentif Bonus Jenjang Karir Kartap Training  KUALIFIKASI Pengalaman minimal 2 tahun diutamakan dari Bank Umum/BPR/Koperasi/Pembiayaan...
nan"
Account Officer,"Account Officer
Tanggung Jawab: Membangun relasi yang baik dengan customer Monitor pergerakan muatan barang pada customer dari awal booking sampai barang sampai di...
nan"
Account Officer,"Account Officer
Candidates must possess at least a Diploma / Bachelor Degree from all MajorAble to communicate in English will be an advantageHaving max 2 years...
Competitive salary, benefits and incentive,Comfort working culture and working environment,Career growth"
Account Officer,"Account Officer
Deskripsi PekerjaanPT. Aptana Citra Solusindo yang merupakan satu dari beberapa anak Perusahaan Kurniawan Group membutuhkan Account Officer di wilayah...
nan"
Account Officer,"Account Officer
KSP MULIA Jombang Membuka Lowongan untuk Account Officer dengan persyaratan : Pendidikan minimal lulusan SMA/SMK Menguasai Ms Office. Minimal...
nan"
Account Officer,"Account Officer
JV2112007 - Account Officer - Sales - LampungMemiliki gelar sarjana dengan minimal IPK 3,00Memiliki pengalaman minimal 1 tahun sebagai sales...
nan"
Account Officer,"Account Officer
Kualifikasi : Pendidikan minimal SMA / SMK - S1 Usia 18-25 tahun Mampu mengendarai motor Memiliki E-KTP/KTP sementara Tidak sedang kuliah Fasilitas...
nan"
Account Officer,"Account Officer
Perusahaan kami PT. Asia Outsourcing Services saat ini sedang membutuhkan karyawan untuk internal staff posisi:ACCOUNT OFFICER ( Permanent staff...
nan"
Sales Admin,"Sales Admin
Tanggung jawab : Melakukan Support Administrasi untuk kepentingan tim Sales. Melakukan tugas administrasi lainnya. Berkomunikasi dengan tim lain...
nan"
Sales Admin,"Sales Admin
Usia Maximal 30 tahun Minimal pengalaman 2 tahun Lulusan minimal D3 Mampu mengoperasikan Microsoft Office ( Excel, Word, Outlook ) Mempunyai kemampuan...
lingkungan team yang baik,ada bonus insentiv jika memenuhi KPI atau Target"
Sales Admin,"Sales Admin
Kualifikasi: Usia max. 35 tahun Pendidikan minimal D III / S1 semua jurusan, sehat jasmani dan rohani Pengalaman min. 2 tahun di bagian administrasi...
BPJS Kesehatan"
Sales Admin,"Sales Admin
PT. Delta Furindotama adalah sebuah Perusahaan Distributor furniture bermerek dagang CHITOSE yang berkualitas dari hasil inovasi dan terinspirasi dari...
nan"
Sales Admin,"Sales Admin
Tugas &amp; Tanggung Jawab: Memiliki kemampuan dalam Penjualan &amp; Administrasi Bersedia bekerja dengan target Memiliki hubungan dan referensi yang...
nan"
Sales Admin,"Sales Admin
Deskripsi Pekerjaan: Melakukan proses penerimaan order. Memeriksa ketersediaan stok barang. Melakukan proses administrasi penjualan agar dapat...
nan"
Sales Admin,"Sales Admin
Pendidikan Minimal S1 All Jurusan(W) Maksimal 26 tahunBerpengalaman sebagai sales admin minimal 3 tahun di perusahaan Plastik Fleksibel Packaging...
nan"
Sales Admin,"Sales Admin
Melakukan penjualan produk perusahaan Maintain klien Melakukan visit untuk presentasi terhadap klien  Kualifikasi : Usia maksimal 30 tahun Pendidikan...
nan"
Sales Admin,"Sales Admin
Have experience in marketing, business development, sales admin, sales coordination.  Minimum 5 Year(s) of working experience in the related field....
nan"
Sales Admin,"Sales Admin
JOB RESPONSIBILITIES: Ensure the delivery of goods before/according to the delivery due date or after the incoming goods are ready to be shipped....
nan"
Sales Admin,"Sales Admin
Kami adalah perusahaan distributor produk-produk elektrikal &amp; mekanikal, saat ini membutuhkan kandidat untuk mengisi posisi SALES ADMIN, yang...
Insentif dari Penjualan,Mendapatkan BPJS,Menerima Pelatihan"
Sales Admin,"Sales Admin
Requirements: Candidate must possess at least Diploma, Bachelor's Degree in Business Studies/Administration/Management, Marketing, Mass Communications...
Health Insurance. BPJS TK, BPJS Kesehatan,Attractive remuneration package,Career path"
Sales Admin,"Sales Admin
Kualifikasi : Usia 21 – 27 tahun Pendidikan minimal D3 (semua jurusan) Minimal 2 tahun pengalaman di posisi yang sama Mampu mengoperasikan Microsoft...
nan"
Sales Admin,"Sales Admin
Deskripsi PekerjaanKualifikasi: Melayani customer di butik Membalas chat customer via Whatsapp Merekap hasil penjualan per hari Meng-input data di...
nan"
Sales Admin,"Sales Admin
Kualifikasi : Pendidikan minimal D3 /Sarjana segalah jurusan Pengalaman minimal 2-3 tahun dibidangnya. Mampu mengoperasikan Ms. Office, Internet,...
nan"
Sales Admin,"Sales Admin
Kualifikasi: Maksimum usia 25 tahun Jujur dan dapat bekerja sama dengan baik dalam team Dapat bekerja dengan rapi, teliti, jujur, inisiatif, cekatan,...
nan"
Sales Admin,"Sales Admin
Qualifications: Job experience period minimal 2 years (in the same company) with proven experiences as Admin Sales Minimal Diploma Deg. (D3) graduated...
nan"
Sales Admin,"Sales Admin
Job Description : Prepare quotation as per requested by Sales Executive Staff &amp; from overseas. Taking care and maintain existing customers....
Knowing Export & Import documents.,Have basic cargo air and sea freight.,4-6 years releavant working experience."
Sales Admin,"Sales Admin
PT. Nipsea Paint and Chemicals sedang mencari kandidat untuk Sales Admin - Automotive Paint.Kriteria : Usia 22 - 26 tahun Pendidikan minimal S1...
nan"
Sales Admin,"Sales Admin
Kualifikasi: Berusia maksimal 35 tahun Memiliki gelar Diploma atau Sarjana Minimal 1 tahun pengalaman sebagai admin Memiliki kemampuan yang baik dalam...
nan"
Sales Consultant,"Sales Consultant
SALES CONSULTANT MAXIMUM 35 YEARS OLD WHEN APPLYING MINIMUM S1 BUSINESS OR ARCHITECT DEGREE FROM REPUTABLE UNIVERSITY MINIMUM 3 YEARS WORKING...
nan"
Sales Consultant,"Sales Consultant
SALES CONSULTANTRequirement : At least 1 year work experiences as a Business Corporate, Sales B2B Excellent communication and negotiation skills...
Bonus, Carrier path"
Sales Consultant,"Sales Consultant
Persyaratan : Harus mempunyai pengalaman sebagai sales minimal 5 tahun di perusahaan yang memasarkan produk interior/arsitektur baik di segment...
nan"
Sales Consultant,"Sales Consultant
KARMA GROUP OPENING IN YOGYAKARTACome &amp; Live in Yogya the beautiful historical city Experienced Sales Consultant is urgently neededNew Opportunity...
nan"
Sales Consultant,"Sales Consultant
Deskripsi Pekerjaan Kandidat harus memiliki setidaknya SMA di bidang apapun. Bahasa yang harus dimiliki: Bahasa Indonesia Setidaknya memiliki 2 tahun...
Gaji Pokok & Komisi Penjualan,Transportasi yang mudah di jangkau & Lingkungan Kerja yang nyaman,Cuti Tahunan & Cuti Bersama Lebaran"
Sales Consultant,"Sales Consultant
PT Pluit AutoplazaDicari Sales Consultant!Kualifikasi : Max 35 tahun Good looking Pekerja keras, Based on Target Memiliki kendaraan pribadi Pendidikan...
Komisi penjualan,Karyawan tetap"
Sales Consultant,"Sales Consultant
Requirement : Usia Maksimal 35 tahun Penampilan &amp; kepribadian menarik, Ramah, Sopan dan Santun Aktif dan inisiatif tinggi dan menyukai dunia Sales...
nan"
Sales Consultant,"Sales Consultant
PERSYARATAN: 1 Pendidikan minimal SMA/SMK2 Pengalaman minimal 3 tahun sebagai Sales diutamakan dibidang FnB3 Terget Oriented4 Berpenampilan menarik...
nan"
Sales Consultant,"Sales Consultant
Requirements: Having 2 year experience in the sales / sales of the furniture industry is advantage. Minimum SMA / Diploma D3 from any major. Maximum...
nan"
Sales Consultant,"Sales Consultant
Penjualan Unit BaruMenjelaskan Produk kepada customerMemberikan refrensi customer dengan pihak leasingMencapai target individu dan cabangKualifikasi...
Memperoleh Jenjang Karir Yang Baik,Mendapat Pengalaman Luas,Lokasi Tempat Kerja Yang Strategis"
Sales Consultant,"Sales Consultant
Own Sim A Bachelor degree from all majors attractive and hardworking 27 years old maximum Domiciled and being able to be placed at Jakarta &amp;...
nan"
Sales Consultant,"Sales Consultant
Kualifikasi : Usia maksimal 33 tahun. Berpendidikan minimal D3 jurusan teknik, komputer, ilmu komunikasi, marketing, pemasaran dan yang berhubungan....
nan"
Sales Consultant,"Sales Consultant
Menjual produk atau layanan dari suatu perusahaan. Memberikan informasi atau penjelasan mengenai suatu produk dan layanan. Memastikan target...
nan"
Sales Consultant,"Sales Consultant
Menjual produk untuk memberikan profit kepada perusahaan serta mempertahankan kepuasan customer untuk menjaga performance perusahaan di mata...
nan"
Sales Consultant,"Sales Consultant
Kualifikasi: Berpenampilan Menarik &amp; Rapih Bisa Berkomunikasi Baik Suka Tantangan Pengalaman Kerja di Sales atau Marketing minimal 1 Tahun Minimal...
Gajih Pokok dan Variable Komisi.,Kompensasi selain gapok terdapat Asuransi dan BPJS Kesehatan,Untuk Komisi no limit, bisa menghasilkan komisi 50 jt ke atas"
Sales Consultant,"Sales Consultant
Are you an experienced Sales Professional with passion in creating wide network in corporate world and hunger to earn unlimited income? Are you ready...
nan"
Sales Consultant,"Sales Consultant
Kuaifikasi:·        Usia maksimal 25 tahun·        Kandidat memiliki pendidikan minimal SLTA atau sederajat·        Berpengalaman minimal 2 tahun...
nan"
Sales Consultant,"Sales Consultant
Persyaratan : Harus mempunyai pengalaman sebagai sales minimal 5 tahun di perusahaan yang memasarkan produk interior/arsitektur baik di segment...
Komisi yang menarik,Mendapatkan network yang luas di property, f&b dan perhotelan,Mendapatkan paket tunjangan menarik"
Sales Consultant,"Sales Consultant
The Luxury High-End Art Gallery is looking for an exceptional Sales Consultant / Sales Executive. To be considered for this role, you must have...
Prestigious job in the top location of Jakarta,Ability to work with the world masterpieces,Impressive opportunities for career development"
Sales Consultant,"Sales Consultant
Qualifications Excellent written and verbal communication skills. Ability to multi-task, organize, and prioritize work. Experience in sales and/or...
nan"
Engineering Manager,"Engineering Manager
Job Summary :The Manufacturing Engineering Manager plans, directs, and coordinates the activities of the maintenance, tooling, and engineering...
nan"
Engineering Manager,"Engineering Manager
Responsibilities Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments Manage release...
nan"
Engineering Manager,"Engineering Manager
OVO is on the look for an experienced and motivated leader to start their legacy with us as Engineering Manager.Who We AreOVO is Indonesia’s fastest...
nan"
Engineering Manager,"Engineering Manager
ENGINEERING MANAGER (EJIP_CIKARANG) [50397] COMPANY CATEGORY:Japanese Electrical Component ManufacturingJOB SUMMARY: Lead Engineering Dept....
nan"
Engineering Manager,"Engineering Manager
Responsibilities : Planning and executing strategies for completing projects on time Managing the work of multiple teams in Engineering Department...
nan"
Engineering Manager,"Engineering Manager
Summary RoleResponsible for product architecture decisions. A person that values simplicity and does not hesitate to challenge technical constraints...
nan"
Engineering Manager,"Engineering Manager
Control all management system in TPM Dept Responsible to all TPM activities and production machine support Make the work plan related production...
permanent employee after 3 months probation"
Engineering Manager,"Engineering Manager
Requirements: Bachelor Degree majoring Engineering/PIKA Experienced minimal 3 years in the same position in the Furniture Company. Excellent in...
Our products is based on art and high end class,Our specializations are indoor furniture with regular and custom,High quality is a must for our products"
Engineering Manager,"Engineering Manager
Responsibilities: Responsible for all process engineering and plant maintenance activities which include process design and machinery, utility,...
nan"
Engineering Manager,"Engineering Manager
Responsibilities Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments Manage release...
nan"
Engineering Manager,"Engineering Manager
Responsibilities Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments Manage release...
nan"
Engineering Manager,"Engineering Manager
Responsibilities Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments Manage release...
nan"
Engineering Manager,"Engineering Manager
Responsibilities Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments Manage release...
nan"
Engineering Manager,"Engineering Manager
Responsibilities Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments Manage release...
nan"
Engineering Manager,"Engineering Manager
Responsibilities Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments Manage release...
nan"
Engineering Manager,"Engineering Manager
Responsibilities Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments Manage release...
nan"
Engineering Manager,"Engineering Manager
Responsibilities Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments Manage release...
nan"
Engineering Manager,"Engineering Manager
Responsibilities Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments Manage release...
nan"
Engineering Manager,"Engineering Manager
Job description and responsibilities: Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments...
nan"
Engineering Manager,"Engineering Manager
Job description and responsibilities: Collaborate with Product Management to achieve Squad goals through timely delivery of done feature increments...
nan"
Room Attendant,"Room Attendant
Min Diploma of Hotel ManagementMin 2 years experience in the same positionFluent in EnglishGood CommunicationCustomer OrientedDate Posted:...
nan"
Room Attendant,"Room Attendant
Ensure all rooms (occupied, vacant dirty) are cleaned. Ensure the cleanliness of the pantry. Prepare the trolley completed with guest supplies,...
nan"
Room Attendant,"Room Attendant
Persyaratan : Usian minimal 18 tahun Pendidikan minimal SMA/SMK Fresh graduation untuk lulusan SMK Perhotelan Berpengalaman dibidang room attendant...
nan"
Room Attendant,"Room Attendant
nan
nan"
Room Attendant,"Room Attendant
nan
nan"
